ITR Id,2nd Trade Received Agreement Date,Lead Source,Approximate Gross Monthly household income,Service/Resolution Type 1.1,Service/Resolution Type 2.1,Service/Resolution Type 3.1,Service/Resolution Type 4.1,Service/Resolution Type 5.1,Service/Resolution Type 6.1,Financing Lender Used,Offered Client Financing,Agreed Client Financing,Approved For Financing,Financing Amount Approved,Clients first payment date,Net Net Resolution Costs,Rating
7777627,2024-10-12,Aged 365 Legacy HAP,4480,IRS Representation (12 Months Max),Analyze and submit IRS financials,Installment Agreement setup and monitoring,Hardship determination and filing,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,,No,No,No,0.0,2024-10-18,3850.0,Tier 3
7387969,2024-08-30,Aged 365 Legacy HAP,18720,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Installment Agreement setup and monitoring,Hardship determination and filing,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,,No,No,No,0.0,2024-09-08,5520.0,Tier 5
4356708,2025-05-31,CL Form,5910,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Partial Pay Installment Agreement (PPIA) setup,OIC follow-up and IRS negotiation,OIC final resolution,,No,No,No,0.0,2025-06-06,2360.0,Tier 2
3999805,2025-06-16,Aged CBG HAP,11670,IRS Representation (6 Months Max),File 1040 tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Currently Not Collectible (CNC) determination,Hardship re-evaluation support,Fresh Start SLIA compliance,,No,No,No,0.0,2025-06-22,10560.0,Tier 1
4863167,2025-04-01,Aged 365 Legacy HAP,4440,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Hardship determination and filing,Hardship re-evaluation support,Fresh Start SLIA compliance,Monterey Tier B,Yes,Yes,Yes,1250.0,2025-04-10,2470.0,Tier 4
5167985,2024-08-09,PPC Call,4700,IRS Representation (12 Months Max),File 1040X tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2024-08-13,14940.0,Tier 4
3235470,2025-06-08,Aged 365 Legacy HAP,8030,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),File 1040 tax return (no schedules),,,,Monterey Tier B,Yes,Yes,Yes,8990.0,2025-06-18,14090.0,Tier 3
2452545,2024-10-24,Aged 365 Legacy HAP,8410,IRS Representation (3 Months Max),File 1040X tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,,,Monterey Tier C,Yes,No,No,0.0,2024-11-07,4770.0,Tier 4
5213614,2024-07-16,Aged DT U30,4570,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Currently Not Collectible (CNC) determination,OIC follow-up and IRS negotiation,OIC final resolution,Elevate Finance - Tier 5,Yes,Yes,Yes,300.0,2024-07-28,520.0,Tier 5
7426807,2024-11-19,Aged DT U30,1050,IRS Representation (3 Months Max),File 1040X tax return (no schedules),Currently Not Collectible (CNC) determination,Hardship determination and filing,OIC follow-up and IRS negotiation,OIC final resolution,,No,No,No,0.0,2024-12-02,9750.0,Tier 4
9905557,2025-01-04,Aged-FL 60,4410,IRS Representation (3 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,Monterey Poss-Flip,Yes,Yes,Yes,14500.0,2025-01-07,25990.0,Tier 4
2507202,2024-12-03,Aged 365 Legacy HAP,7670,IRS Representation (3 Months Max),Analyze and submit IRS financials,Partial Pay Installment Agreement (PPIA) setup,Offer in Compromise (OIC) preparation,Fresh Start SLIA renewal,OIC final resolution,Monterey Tier C,Yes,No,No,0.0,2024-12-07,9680.0,Tier 4
9208671,2025-03-31,Aged-PI,4990,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Hardship determination and filing,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,Elevate Finance - Tier 5,Yes,No,No,0.0,2025-04-04,22540.0,Tier 5
4346519,2024-08-06,Aged 365 Legacy HAP,6610,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Partial Pay Installment Agreement (PPIA) setup,Currently Not Collectible (CNC) determination,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2024-08-11,19160.0,Tier 3
8073933,2025-02-07,Aged CBG HAP,5860,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Partial Pay Installment Agreement (PPIA) setup,Fresh Start SLIA renewal,OIC final resolution,,No,No,No,0.0,2025-02-15,12450.0,Tier 3
4635493,2024-06-08,PPC Call,1930,IRS Representation (3 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,,No,No,No,0.0,2024-06-11,14610.0,Tier 4
7274339,2025-04-24,Aged DT U30,8720,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Hardship determination and filing,OIC follow-up and IRS negotiation,Hardship compliance monitoring,,No,No,No,0.0,2025-05-07,19800.0,Tier 5
7511436,2025-06-24,Aged DT U30,3370,IRS Representation (12 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-06-30,7410.0,Tier 4
4566682,2025-02-18,Aged CBG HAP,3550,IRS Representation (6 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Currently Not Collectible (CNC) determination,Hardship re-evaluation support,OIC final resolution,Monterey Tier A,Yes,No,No,0.0,2025-03-03,16900.0,Tier 4
3554776,2025-02-26,PPC Call,7220,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Currently Not Collectible (CNC) determination,Hardship determination and filing,Fresh Start SLIA renewal,OIC final resolution,,No,No,No,0.0,2025-03-05,5910.0,Tier 3
8742404,2025-04-20,Aged 365 Legacy HAP,3050,IRS Representation (6 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,,,No,No,No,0.0,2025-05-05,13400.0,Tier 1
4003137,2024-09-19,Aged-FL 60,5830,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Installment Agreement setup and monitoring,Penalty Abatement request,,,AfterPay,Yes,No,No,0.0,2024-10-03,3910.0,Tier 5
