ITR Id,Status,Sub_status,ITR_Close_Date,Activation_Date__c,Pre_Activation_Date__c
7777627,Resolution Docs Requested,,,,
7387969,Pre-Activation,,,,
4356708,Case Completed Successful,,,,
3999805,Case Completed Failed,Unresponsive,2025-08-31,,
4863167,Activation Call,,,,
5167985,Case Completed Failed,Unresponsive,2024-09-23,2024-10-13,2024-10-02
3235470,Active,,,,
2452545,Case Completed Successful,,,2024-12-10,2024-11-27
5213614,Case Completed Failed,Non-Compliance,2025-03-16,,
7426807,Activation Call,,,2025-05-16,2025-04-30
9905557,Case Completed Failed,Due to Non Payment,2025-07-05,,
2507202,Case Completed Successful,,,2025-04-24,2025-04-12
9208671,Case Completed Failed,Unresponsive,2026-03-31,,
4346519,Case Completed Successful,,,2024-12-17,2024-12-10
8073933,Tax Prep Docs Requested,,,,
4635493,Active,,,,
7274339,Case Completed Successful,,,,
7511436,Pre-Activation,,,,
4566682,Resolution Docs Requested,,,,
3554776,Case Completed Successful,,,,
8742404,Pre-Activation,,,2025-08-23,2025-08-11
4003137,Case Completed Failed,Financial Hardship,2024-12-04,2024-12-06,2024-11-22
6684233,Case Completed Failed,Dissatisfaction,2025-07-22,2025-03-02,2025-02-16
2391930,Active,,,2025-01-05,2024-12-16
9870385,Active,,,,
2473076,Pre-Activation,,,,
8869169,Resolution Docs Requested,,,2024-10-09,2024-09-20
6307954,Case Completed Failed,Dissatisfaction,2025-07-12,,
7754888,Resolution Docs Requested,,,,
1715572,Tax Prep Docs Requested,,,2025-02-05,2025-01-19
5519768,Active,,,2024-10-04,2024-09-22
1127838,Active,,,,
8133772,Case Completed Failed,Non-Compliance,2024-10-11,2024-12-08,2024-11-26
4418599,Case Completed Failed,Went directly through IRS,2025-01-23,2025-03-23,2025-03-15
7082268,Tax Prep Docs Requested,,,2025-02-06,2025-01-29
9964234,Tax Prep Docs Requested,,,2025-03-14,2025-02-27
2355874,Case Completed Failed,Financial Hardship,2025-09-24,,
8752528,Pre-Activation,,,2025-08-11,2025-07-30
9701586,Case Completed Successful,,,,
4323229,Case Completed Failed,Dissatisfaction,2025-02-12,,
8762825,Case Completed Failed,Health Issues,2025-06-19,,
1860969,Activation Call,,,2025-03-14,2025-02-21
6998272,Resolution Docs Requested,,,,
3166605,Resolution Docs Requested,,,2025-05-29,2025-05-20
4620914,Resolution Docs Requested,,,2025-06-02,2025-05-17
3697976,Resolution Docs Requested,,,2025-10-01,2025-09-24
8410741,Case Completed Successful,,,2025-09-15,2025-08-25
3980060,Case Completed Successful,,,,
9442218,Resolution Docs Requested,,,2025-07-31,2025-07-24
3953174,Activation Call,,,,
1621800,Case Completed Successful,,,2025-07-12,2025-06-24
2842011,Active,,,2025-04-06,2025-03-16
1390973,Case Completed Successful,,,2025-03-14,2025-03-06
3872045,Case Completed Successful,,,,
8947818,Case Completed Failed,Non-Compliance,2025-04-07,,
8030041,Case Completed Successful,,,2025-08-19,2025-08-09
2361641,Tax Prep Docs Requested,,,2025-11-08,2025-10-30
8137367,Pre-Activation,,,2025-03-20,2025-03-10
2443157,Active,,,,
3397658,Active,,,,
