Lead Source,total_clients,churned_quantity,churn_revenue,churn_rate,pct_total_churn_quantity,pct_total_churn_revenue
Aged 365 Legacy HAP,90,21,188650.0,0.23333333333333334,0.22340425531914893,0.1549028623979768
Aged DT U30,46,11,199880.0,0.2391304347826087,0.11702127659574468,0.1641239551344161
Aged-PI,32,10,127860.0,0.3125,0.10638297872340426,0.10498743697961999
CL Form,41,8,129360.0,0.1951219512195122,0.0851063829787234,0.10621910564432693
Aged CBG HAP,48,7,83060.0,0.14583333333333334,0.07446808510638298,0.06820159952703923
ATL Form,32,6,70310.0,0.1875,0.06382978723404255,0.0577324158770302
Aged PI Free,13,5,56520.0,0.38461538461538464,0.05319148936170213,0.04640927528615769
Aged-FL 60,15,5,55800.0,0.3333333333333333,0.05319148936170213,0.045818074327098356
Aged 365 Legacy,17,5,50340.0,0.29411764705882354,0.05319148936170213,0.041334800387565075
FL Call,20,4,102340.0,0.2,0.0425531914893617,0.08403264743073917
PPC Call,27,3,52240.0,0.1111111111111111,0.031914893617021274,0.042894914029527206
DT Form DS,14,3,37600.0,0.21428571428571427,0.031914893617021274,0.030873827861987422
Website Call,9,3,29970.0,0.3333333333333333,0.031914893617021274,0.02460873992084476
Self Generated,9,2,14300.0,0.2222222222222222,0.02127659574468085,0.011741907936872875
Referral,7,1,19630.0,0.14285714285714285,0.010638297872340425,0.01611843725879822
