timing_bucket,churned_clients,churn_revenue,pct_total_churn_clients,pct_total_churn_revenue
0-30 days,18.0,283130.0,19.1489,23.2482
31-60 days,15.0,183130.0,15.9574,15.037
61-90 days,13.0,184710.0,13.8298,15.1668
91-180 days,7.0,62480.0,7.4468,5.1303
181-365 days,41.0,504410.0,43.617,41.4177
STAT_MEAN_DAYS_AGREEMENT_TO_CHURN,146.9787234042553,,,
STAT_MEDIAN_DAYS_AGREEMENT_TO_CHURN,121.0,,,
STAT_MEAN_MONTHS_AGREEMENT_TO_CHURN,4.828869762768143,,,
STAT_MEDIAN_MONTHS_AGREEMENT_TO_CHURN,3.975359342915811,,,
STAT_MEAN_DAYS_FIRST_PAYMENT_TO_CHURN,137.87234042553192,,,
STAT_MEDIAN_DAYS_FIRST_PAYMENT_TO_CHURN,109.0,,,
