Financing Lender Used,total_clients,churned_quantity,churn_revenue,churn_rate,pct_total_churn_quantity,pct_total_churn_revenue
Monterey Tier C,35.0,9.0,158580.0,0.2571428571428571,0.09574468085106383,0.13021201123281823
Elevate Finance - Tier 5,12.0,8.0,103480.0,0.6666666666666666,0.0851063829787234,0.08496871561591644
Monterey Poss-Flip,26.0,7.0,169930.0,0.2692307692307692,0.07446808510638298,0.1395316374624341
DecisionFI,28.0,5.0,97600.0,0.17857142857142858,0.05319148936170213,0.08014057445026522
Monterey Tier A,14.0,5.0,58750.0,0.35714285714285715,0.05319148936170213,0.04824035603435534
Monterey Tier B,26.0,5.0,55210.0,0.19230769230769232,0.05319148936170213,0.04533361798564695
AfterPay,8.0,2.0,13360.0,0.25,0.02127659574468085,0.01097006224032319
Flexxbuy,4.0,1.0,5100.0,0.25,0.010638297872340425,0.004187673460003613
TOTAL_POSSFLIP_CHURN_DOLLARS,,,662010.0,,,0.5435846484817631
GRAND_TOTAL,153.0,42.0,662010.0,0.27450980392156865,0.44680851063829785,0.5435846484817631
